,name,quality,base_atk,substat,passive
0,A Thousand Floating Dreams,,542(44),Elemental Mastery 265(58),"A Thousand Nights' DawnsongParty members other than the equipping character will provide the equipping character with buffs based on whether their Elemental Type is the same as the latter or not. If their Elemental Types are the same, increase Elemental Mastery by 32~64. If not, increase the equipping character's DMG Bonus from their Elemental Type by 10~26%. Each of the aforementioned effects can have up to 3 stacks. Additionally, all nearby party members other than the equipping character will have their Elemental Mastery increased by 40~48. Multiple such effects from multiple such weapons can stack."
1,Absolution,,674(48),CRIT DMG 44.1%(9.6%),Deathly PactCRIT DMG increased by 20~40%. Increasing the value of a Bond of Life increases the DMG the equipping character deals by 16~32% for 6s. Max 3 stacks.
2,Amos' Bow,,608(46),ATK 49.6%(10.8%),"Strong-WilledIncreases Normal Attack and Charged Attack DMG by 12~24%. After a Normal or Charged Attack is fired, DMG dealt increases by a further 8~16% every 0.1 seconds the arrow is in the air for up to 5 times."
3,Aqua Simulacra,,542(44),CRIT DMG 88.2%(19.2%),"The Cleansing FormHP is increased by 16~32%. When there are opponents nearby, the DMG dealt by the wielder of this weapon is increased by 20~40%. This will take effect whether the character is on-field or not."
4,Aquila Favonia,,674(48),Physical DMG Bonus 41.3%(9%),"Falcon's DefianceATK is increased by 20~40%. Triggers on taking DMG: the soul of the Falcon of the West awakens, holding the banner of the resistance aloft, regenerating HP equal to 100~160% of ATK and dealing 200~320% of ATK as DMG to surrounding opponents. This effect can only occur once every 15s."
5,Beacon of the Reed Sea,,608(46),CRIT Rate 33.1%(7.2%),"Desert WatchAfter the character's Elemental Skill hits an opponent, their ATK will be increased by 20~40% for 8s. After the character takes DMG, their ATK will be increased by 20~40% for 8s. The 2 aforementioned effects can be triggered even when the character is not on the field. Additionally, when not protected by a shield, the character's Max HP will be increased by 32~64%."
6,Calamity Queller,,741(49),ATK 16.5%(3.6%),"Extinguishing PreceptGain 12~24% All Elemental DMG Bonus. Obtain Consummation for 20s after using an Elemental Skill, causing ATK to increase by 3.2~6.4% per second. This ATK increase has a maximum of 6 stacks. When the character equipped with this weapon is not on the field, Consummation's ATK increase is doubled."
7,Cashflow Supervision,,674(48),CRIT Rate 22.1%(4.8%),"Golden Blood-TideATK is increased by 16~32%. When current HP increases or decreases, Normal Attack DMG will be increased by 16~32% and Charged Attack DMG will be increased by 14~28% for 4s. Max 3 stacks. This effect can be triggered once every 0.3s. When the wielder has 3 stacks, ATK SPD will be increased by 8~16%."
8,Crane's Echoing Call,,741(49),ATK 16.5%(3.6%),"Cloudfall AxiomAfter the equipping character hits an opponent with a Plunging Attack, all nearby party members' Plunging Attacks will deal 28~80% increased DMG for 20s. When nearby party members hit opponents with Plunging Attacks, they will restore 2.5~3.5 Energy to the equipping character. Energy can restored this way every 0.7s. This energy regain effect can be triggered even if the equipping character is not on the field."
9,Crimson Moon's Semblance,,674(48),CRIT Rate 22.1%(4.8%),"Ashen Sun's ShadowGrants a Bond of Life equal to 25% of Max HP when a Charged Attack hits an opponent. This effect can be triggered up to once every 14s. In addition, when the equipping character has a Bond of Life, they gain a 12~28% DMG Bonus; if the value of the Bond of Life is greater than or equal to 30% of Max HP, then gain an additional 24~56% DMG."
10,Elegy for the End,,608(46),Energy Recharge 55.1%(12%),"The Parting RefrainA part of the ""Millennial Movement"" that wanders amidst the winds.Increases Elemental Mastery by 60~120.When the Elemental Skills or Elemental Bursts of the character wielding this weapon hit opponents, that character gains a Sigil of Remembrance. This effect can be triggered once every 0.2s and can be triggered even if said character is not on the field.When you possess 4 Sigils of Remembrance, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Farewell Song"" effect for 12s.""Millennial Movement: Farewell Song"" increases Elemental Mastery by 100~200 and increases ATK by 20~40%. Once this effect is triggered, you will not gain Sigils of Remembrance for 20s.Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack."
11,Engulfing Lightning,,608(46),Energy Recharge 55.1%(12%),Timeless Dream: Eternal StoveATK increased by 28~56% of Energy Recharge over the base 100%. You can gain a maximum bonus of 80~120% ATK. Gain 30~50% Energy Recharge for 12s after using an Elemental Burst.
12,Everlasting Moonglow,,608(46),HP 49.6%(10.8%),"Byakuya KougetsuHealing Bonus increased by 10~20%, Normal Attack DMG is increased by 1~3.0% of the Max HP of the character equipping this weapon. For 12s after using an Elemental Burst, Normal Attacks that hit opponents will restore 0.6 Energy. Energy can be restored this way once every 0.1s."
13,Fang of the Mountain King,,741(49),CRIT Rate 11.0%(2.4%),"Turquoise HuntGain 1 stack of Canopy's Favor after hitting an opponent with an Elemental Skill. This can be triggered once every 0.5s. After a nearby party member triggers a Burning or Burgeon reaction, the equipping character will gain 3 stacks. This effect can be triggered once every 2s and can be triggered even when the triggering party member is off-field. Canopy's Favor: Elemental Skill and Burst DMG is increased by 10~20% for 6s. Max 6 stacks. Each stack is counted independently."
14,Freedom-Sworn,,608(46),Elemental Mastery 198(43),"Revolutionary ChoraleA part of the ""Millennial Movement"" that wanders amidst the winds.Increases DMG by 10~20%.When the character wielding this weapon triggers Elemental Reactions, they gain a Sigil of Rebellion. This effect can be triggered once every 0.5s and can be triggered even if said character is not on the field.When you possess 2 Sigils of Rebellion, all of them will be consumed and all nearby party members will obtain ""Millennial Movement: Song of Resistance"" for 12s.""Millennial Movement: Song of Resistance"" increases Normal, Charged, and Plunging Attack DMG by 16~32% and increases ATK by 20~40%. Once this effect is triggered, you will not gain Sigils of Rebellion for 20s.Of the many effects of the ""Millennial Movement,"" buffs of the same type will not stack."
15,Haran Geppaku Futsu,,608(46),CRIT Rate 33.1%(7.2%),"Honed FlowObtain 12~24% All Elemental DMG Bonus. When other nearby party members use Elemental Skills, the character equipping this weapon will gain 1 Wavespike stack. Max 2 stacks. This effect can be triggered once every 0.3s. When the character equipping this weapon uses an Elemental Skill, all stacks of Wavespike will be consumed to gain Rippling Upheaval: each stack of Wavespike consumed will increase Normal Attack DMG by 20~40% for 8s."
16,Hunter's Path,,542(44),CRIT Rate 44.1%(9.6%),At the End of the Beast-PathsGain 12~24% All Elemental DMG Bonus. Obtain the Tireless Hunt effect after hitting an opponent with a Charged Attack. This effect increases Charged Attack DMG by 160~320% of Elemental Mastery. This effect will be removed after 12 Charged Attacks or 10s. Only 1 instance of Tireless Hunt can be gained every 12s.
17,Jadefall's Splendor,,608(46),HP 49.6%(10.8%),"Primordial Jade RegaliaFor 3s after using an Elemental Burst or creating a shield, the equipping character can gain the Primordial Jade Regalia effect: Restore 4.5~6.5 Energy every 2.5s, and gain 0.3~1.1% Elemental DMG Bonus for their corresponding Elemental Type for every 1,000 Max HP they possess, up to 12~44%. Primordial Jade Regalia will still take effect even if the equipping character is not on the field."
18,Kagura's Verity,,608(46),CRIT DMG 66.2%(14.4%),"Kagura Dance of the Sacred SakuraGains the Kagura Dance effect when using an Elemental Skill, causing the Elemental Skill DMG of the character wielding this weapon to increase by 12~24% for 16s. Max 3 stacks. This character will gain 12~24% All Elemental DMG Bonus when they possess 3 stacks."
19,Key of Khaj-Nisut,,542(44),HP 66.2%(14.4%),"Sunken Song of the SandsHP increased by 20~40%. When an Elemental Skill hits opponents, you gain the Grand Hymn effect for 20s. This effect increases the equipping character's Elemental Mastery by 0.12~0.24% of their Max HP. This effect can trigger once every 0.3s. Max 3 stacks. When this effect gains 3 stacks, or when the third stack's duration is refreshed, the Elemental Mastery of all nearby party members will be increased by 0.2~0.4% of the equipping character's max HP for 20s."
20,Light of Foliar Incision,,542(44),CRIT DMG 88.2%(19.2%),"Whitemoon BristleCRIT Rate is increased by 4~8%. After Normal Attacks deal Elemental DMG, the Foliar Incision effect will be obtained, increasing DMG dealt by Normal Attacks and Elemental Skills by 120~240% of Elemental Mastery. This effect will disappear after 28 DMG instances or 12s. You can obtain Foliar Incision once every 12s."
21,Lost Prayer to the Sacred Winds,,608(46),CRIT Rate 33.1%(7.2%),"Boundless BlessingIncreases Movement SPD by 10%. When in battle, gain an 8~16% Elemental DMG Bonus every 4s. Max 4 stacks. Lasts until the character falls or leaves combat."
22,Lumidouce Elegy,,608(46),CRIT Rate 33.1%(7.2%),"Bright Dawn OvertureATK increased by 15~31%. After the equipping character triggers Burning on an opponent or deals Dendro DMG to Burning opponents, the DMG dealt is increased by 18~38%. This effect lasts for 8s, max 2 stacks. When 2 stacks are reached or when the duration is refreshed at 2 stacks, restore 12~16 Energy. Energy can be restored this way once every 12s. The 2 aforementioned effects can be triggered even when the character is off-field."
23,Memory of Dust,,608(46),ATK 49.6%(10.8%),"Golden MajestyIncreases Shield Strength by 20~40%. Scoring hits on opponents increases ATK by 4~8% for 8s. Max 5 stacks. Can only occur once every 0.3s. While protected by a shield, this ATK increase effect is increased by 100%."
24,Mistsplitter Reforged,,674(48),CRIT DMG 44.1%(9.6%),"Mistsplitter's EdgeGain a 12~24% Elemental DMG Bonus for all elements and receive the might of the Mistsplitter's Emblem. At stack levels 1/2/3, Mistsplitter's Emblem provides a 8/16/28~16/32/56% Elemental DMG Bonus for the character's Elemental Type. The character will obtain 1 stack of Mistsplitter's Emblem in each of the following scenarios: Normal Attack deals Elemental DMG (stack lasts 5s), casting Elemental Burst (stack lasts 10s); Energy is less than 100% (stack disappears when Energy is full). Each stack's duration is calculated independently."
25,Peak Patrol Song,,542(44),DEF 82.7%(18%),"Halcyon Years UnendingGain ""Ode to Flowers"" after Normal or Plunging Attacks hit an opponent: DEF increases by 8~16% and gain a 10~20% All Elemental DMG Bonus for 6s. Max 2 stacks. Can trigger once per 0.1s. When this effect reaches 2 stacks or the 2nd stack's duration is refreshed, increase all nearby party members' All Elemental DMG Bonus by 8~16% for every 1,000 DEF the equipping character has, up to a maximum of 25.6~51.2%, for 15s."
26,Polar Star,,608(46),CRIT Rate 33.1%(7.2%),"Daylight's AuguryElemental Skill and Elemental Burst DMG increased by 12~24%. After a Normal Attack, Charged Attack, Elemental Skill or Elemental Burst hits an opponent, 1 stack of Ashen Nightstar will be gained for 12s. When 1/2/3/4 stacks of Ashen Nightstar are present, ATK is increased by 10/20/30/48~20/40/60/96%. The stack of Ashen Nightstar created by the Normal Attack, Charged Attack, Elemental Skill or Elemental Burst will be counted independently of the others."
27,Primordial Jade Cutter,,542(44),CRIT Rate 44.1%(9.6%),"Protector's VirtueHP increased by 20~40%. Additionally, provides an ATK Bonus based on 1.2~2.4% of the wielder's Max HP."
28,Primordial Jade Winged-Spear,,674(48),CRIT Rate 22.1%(4.8%),"Eagle Spear of JusticeOn hit, increases ATK by 3.2~6.0% for 6s. Max 7 stacks. This effect can only occur once every 0.3s. While in possession of the maximum possible stacks, DMG dealt is increased by 12~24%."
29,Redhorn Stonethresher,,542(44),CRIT DMG 88.2%(19.2%),Gokadaiou OtogibanashiDEF is increased by 28~56%. Normal and Charged Attack DMG is increased by 40~80% of DEF.
30,Silvershower Heartstrings,,542(44),HP 66.2%(14.4%),"Dryas's NocturneThe equipping character can gain the Remedy effect. When they possess 1/2/3 Remedy stacks, Max HP will increase by 12%/24%/40%~24%/48%/80%. 1 stack may be gained when the following conditions are met: 1 stack for 25s when using an Elemental Skill; 1 stack for 25s when the value of a Bond of Life value increases; 1 stack for 20s for performing healing. Stacks can still be triggered when the equipping character is not on the field. Each stack's duration is counted independently. In addition, when 3 stacks are active, Elemental Burst CRIT Rate will be increased by 28%~56%. This effect will be canceled 4s after falling under 3 stacks."
31,Skyward Atlas,,674(48),ATK 33.1%(7.2%),"Wandering CloudsIncreases Elemental DMG Bonus by 12~24%. Normal Attack hits have a 50% chance to earn the favor of the clouds. which actively seek out nearby opponents to attack for 15s, dealing 160~320% ATK DMG. Can only occur once every 30s."
32,Skyward Blade,,608(46),Energy Recharge 55.1%(12%),"Sky-Piercing FangCRIT Rate increased by 4~8%. Gains Skypiercing Might upon using an Elemental Burst: Increases Movement SPD by 10%, increases ATK SPD by 10%, and Normal and Charged hits deal additional DMG equal to 20~40% of ATK. Skypiercing Might lasts for 12s."
33,Skyward Harp,,674(48),CRIT Rate 22.1%(4.8%),"Echoing BalladIncreases CRIT DMG by 20~40%. Hits have a 60~100% chance to inflict a small AoE attack, dealing 125% Physical ATK DMG. Can only occur once every 4~2s."
34,Skyward Pride,,674(48),Energy Recharge 36.8%(8%),"Sky-ripping Dragon SpineIncreases all DMG by 8~16%. After using an Elemental Burst, a vacuum blade that does 80~160% of ATK as DMG to opponents along its path will be created when Normal or Charged Attacks hit. Lasts for 20s or 8 vacuum blades."
35,Skyward Spine,,674(48),Energy Recharge 36.8%(8%),"Black WingIncreases CRIT Rate by 8~16% and increases Normal ATK SPD by 12%. Additionally, Normal and Charged Attacks hits on opponents have a 50% chance to trigger a vacuum blade that deals 40~100% of ATK as DMG in a small AoE. This effect can occur no more than once every 2s."
36,Song of Broken Pines,,741(49),Physical DMG Bonus 20.7%(4.5%),"Rebel's Banner-HymnA part of the ""Millennial Movement"" that wanders amidst the winds.Increases ATK by 16~32%, and when Normal or Charged Attacks hit opponents, the character gains a Sigil of Whispers. This effect can be triggered once every 0.3s.When you possess four Sigils of Whispers, all of them will be consumed and all nearby party members will obtain the ""Millennial Movement: Banner-Hymn"" effect for 12s.""Millennial Movement: Banner-Hymn"" increases Normal ATK SPD by 12~24% and increases ATK by 20~40%. Once this effect is triggered, you will not gain Sigils of Whispers for 20s.Of the many effects of the ""Millennial Movement"", buffs of the same type will not stack."
